Наименование / ФИО,Тип субъекта,Категория,ИНН,Регион,Город,Населенный пункт,Дата включения в реестр,Наличие лицензий,Среднесписочная численность работников за предшествующий календарный год
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСРЕМСТРОЙ""",Юридическое лицо,Малое предприятие,2312143223,23 - Краснодарский край,г Белореченск,,01.08.2016,Нет,39.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНССВЯЗЬСТРОЙ""",Юридическое лицо,Малое предприятие,7716570043,77 - г.Москва,,,01.08.2016,Да,8.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНССЕРВИС""",Юридическое лицо,Малое предприятие,7203218950,72 - Тюменская область,г Тюмень,,01.08.2016,Нет,52.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНССНАБ""",Юридическое лицо,Малое предприятие,6732057790,67 - Смоленская область,г Смоленск,,01.08.2016,Да,23.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНССТРОЙ-ВОСТОК""",Юридическое лицо,Малое предприятие,7203487174,72 - Тюменская область,г Тюмень,,10.09.2019,Нет,4.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНССТРОЙ""",Юридическое лицо,Малое предприятие,7716706424,77 - г.Москва,,,01.08.2016,Да,15.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНССТРОЙ""",Юридическое лицо,Малое предприятие,4823061253,48 - Липецкая область,г Липецк,,10.08.2018,Нет,14.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНССТРОЙ""",Юридическое лицо,Малое предприятие,9723149182,77 - г.Москва,,,10.05.2022,Нет,67.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНССТРОЙ""",Юридическое лицо,Малое предприятие,2508073972,25 - Приморский край,г Находка,,10.07.2017,Нет,50.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНССТРОЙРЕСУРС""",Юридическое лицо,Среднее предприятие,7724666447,77 - г.Москва,,,10.07.2021,Да,2.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНССТРОЙСАХА""",Юридическое лицо,Малое предприятие,1435283564,14 - Республика Саха (Якутия),г Якутск,,10.08.2018,Да,2.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНССТРОЙСЕРВИС""",Юридическое лицо,Малое предприятие,1649037894,16 - Республика Татарстан (Татарстан),г Казань,,10.04.2019,Нет,17.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСЭНЕРГОМОНТАЖПРОЕКТ""",Юридическое лицо,Малое предприятие,7702406981,77 - г.Москва,,,10.10.2016,Нет,6.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСЭТ""",Юридическое лицо,Малое предприятие,7813330914,78 - г.Санкт-Петербург,,,01.08.2016,Да,25.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАССТРОЙ ВИТРАЖ""",Юридическое лицо,Малое предприятие,7814743826,78 - г.Санкт-Петербург,,,10.11.2018,Нет,16.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАСТ""",Юридическое лицо,Малое предприятие,9710096864,77 - г.Москва,,,10.04.2022,Нет,1.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАСТКАПСТРОЙ""",Юридическое лицо,Малое предприятие,9731046141,77 - г.Москва,,,10.07.2019,Нет,12.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАСТКОМ""",Юридическое лицо,Малое предприятие,7719272447,77 - г.Москва,,,01.08.2016,Нет,7.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАСТКОМ""",Юридическое лицо,Малое предприятие,9723145011,77 - г.Москва,,,10.04.2022,Нет,1.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕЙД ГРУПП""",Юридическое лицо,Малое предприятие,9729300190,77 - г.Москва,,,10.10.2020,Нет,5.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕЙД ИНЖИНИРИНГ""",Юридическое лицо,Малое предприятие,6330055150,78 - г.Санкт-Петербург,,,01.08.2016,Нет,22.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕЙД МЕТАЛЛ""",Юридическое лицо,Малое предприятие,8620015724,16 - Республика Татарстан (Татарстан),,с Шемордан,01.08.2016,Да,127.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕЙДИНВЕСТ""",Юридическое лицо,Малое предприятие,1215214967,12 - Республика Марий Эл,г Йошкар-Ола,,10.01.2017,Нет,11.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕНД ИНЖИНИРИНГ""",Юридическое лицо,Малое предприятие,7726686671,77 - г.Москва,,,01.08.2016,Да,14.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕНДВЭЙ""",Юридическое лицо,Малое предприятие,7734455981,77 - г.Москва,,,10.07.2022,Нет,22.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕСТ ""УРАЛСТАЛЬКОНСТРУКЦИЯ - СМУ 7""",Юридическое лицо,Среднее предприятие,5911065890,59 - Пермский край,г Пермь,,01.08.2016,Да,88.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕСТ 7""",Юридическое лицо,Малое предприятие,6449091741,64 - Саратовская область,г Энгельс,,10.10.2018,Да,24.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕСТ СКМ""",Юридическое лицо,Малое предприятие,7449118258,74 - Челябинская область,г Челябинск,,01.08.2016,Да,37.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕСТ-1""",Юридическое лицо,Малое предприятие,1513063897,15 - Республика Северная Осетия - Алания,г Владикавказ,,10.08.2019,Да,6.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕСТ-19""",Юридическое лицо,Малое предприятие,2130209261,21 - Чувашская Республика - Чувашия,г Чебоксары,,10.04.2019,Да,20.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕСТ-ФИНАНС""",Юридическое лицо,Малое предприятие,7840349953,78 - г.Санкт-Петербург,,,01.08.2016,Нет,1.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕСТ""",Юридическое лицо,Малое предприятие,6163134450,61 - Ростовская область,г Ростов-на-Дону,,01.08.2016,Нет,10.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕСТАР-СЕРВИС""",Юридическое лицо,Малое предприятие,7708643876,77 - г.Москва,,,01.08.2016,Нет,33.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕСТСТРОЙ""",Юридическое лицо,Малое предприятие,2723210268,27 - Хабаровский край,г Хабаровск,,10.07.2020,Нет,20.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРИ А СТРОЙ""",Юридическое лицо,Малое предприятие,2315210140,23 - Краснодарский край,г Новороссийск,,10.02.2019,Нет,12.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРИАЛСТРОЙ""",Юридическое лицо,Малое предприятие,6672204503,66 - Свердловская область,г Екатеринбург,,01.08.2016,Да,7.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРИБУС""",Юридическое лицо,Малое предприятие,9715411171,77 - г.Москва,,,10.01.2022,Нет,16.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРИК ГРУПП ДЕВЕЛОПМЕНТ""",Юридическое лицо,Малое предприятие,9718045653,77 - г.Москва,,,10.08.2019,Нет,20.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРИУМФ СТРОЙ""",Юридическое лицо,Малое предприятие,7714482465,77 - г.Москва,,,10.04.2022,Нет,0.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРИУМФ""",Юридическое лицо,Малое предприятие,9723132277,77 - г.Москва,,,10.01.2022,Нет,1.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРИУМФ""",Юридическое лицо,Малое предприятие,6154097900,61 - Ростовская область,г Таганрог,,01.08.2016,Нет,6.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРИУМФ""",Юридическое лицо,Малое предприятие,7706460228,77 - г.Москва,,,10.11.2018,Да,128.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРИУМФ""",Юридическое лицо,Малое предприятие,7224044007,77 - г.Москва,,,01.08.2016,Нет,64.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРОЙКА ИНЖИНИРИНГ""",Юридическое лицо,Малое предприятие,5003118190,50 - Московская область,г Видное,д Сапроново,01.08.2016,Нет,35.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРОЙКА КОНСТРАКШН""",Юридическое лицо,Среднее предприятие,5027210212,50 - Московская область,г Люберцы,,10.11.2020,Нет,2.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРОЙКА РЭД""",Юридическое лицо,Малое предприятие,5027185492,50 - Московская область,г Люберцы,,01.08.2016,Нет,23.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРУБОПРОВОД СТРОЙ СЕРВИС""",Юридическое лицо,Малое предприятие,5250017768,52 - Нижегородская область,г Нижний Новгород,,01.08.2016,Да,25.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТС -СПЕЦСТРОЙ""",Юридическое лицо,Малое предприятие,4217105091,42 - Кемеровская область,г Новокузнецк,,01.08.2016,Нет,81.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТСА""",Юридическое лицо,Малое предприятие,7721732282,77 - г.Москва,,,10.08.2018,Да,23.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТСК - ВОСТОК""",Юридическое лицо,Малое предприятие,7721426849,77 - г.Москва,,,01.08.2016,Нет,35.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТСК ""БАЗИС""",Юридическое лицо,Малое предприятие,6685102153,66 - Свердловская область,г Екатеринбург,,01.08.2016,Нет,20.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТСК ""ТОПАЗ""",Юридическое лицо,Малое предприятие,6671449532,66 - Свердловская область,г Екатеринбург,,01.08.2016,Нет,5.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТСК +""",Юридическое лицо,Малое предприятие,1435252608,14 - Республика Саха (Якутия),г Якутск,,01.08.2016,Нет,31.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТСК АРЛИ""",Юридическое лицо,Малое предприятие,7708313540,77 - г.Москва,,п Коммунарка,10.04.2017,Да,34.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТСК ГРУПП""",Юридическое лицо,Малое предприятие,7719885852,77 - г.Москва,,,01.08.2016,Да,3.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТСК ПОСТАВКА""",Юридическое лицо,Малое предприятие,7106525642,71 - Тульская область,,рп Заокский,01.08.2016,Нет,29.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТСК РЕКОНСТРУКЦИЯ-СТРОЙ""",Юридическое лицо,Малое предприятие,6234177847,62 - Рязанская область,г Рязань,,10.07.2018,Нет,45.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТСК""",Юридическое лицо,Малое предприятие,9724071877,77 - г.Москва,,,10.03.2022,Нет,9.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТСК""",Юридическое лицо,Малое предприятие,5256097640,52 - Нижегородская область,г Нижний Новгород,,01.08.2016,Нет,29.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТСМ ""ФОРТ""",Юридическое лицо,Малое предприятие,7733848732,77 - г.Москва,,,01.08.2016,Да,10.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТСМ УПРАВЛЕНИЕ""",Юридическое лицо,Малое предприятие,5003105667,50 - Московская область,г Видное,,01.08.2016,Нет,33.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТСП-ИНЖИНИРИНГ""",Юридическое лицо,Малое предприятие,7811730586,78 - г.Санкт-Петербург,,,10.07.2019,Нет,32.0
